date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1,wind_dm,wind_b1,wind_dir_dm,wind_dir_b1,par_dm,par_b1,up_dm,up_b1
2018-01-30,174,175.9,465.5139858378441,325.14569435259824,313.79784615384614,317.2243743589744,771.1201907321195,622.6032811162453,9.376791666666668,8.228680555555556,215.51666666666665,120.34972222222223,0.13443302845833333,0.281346051,-53.05982375000001,-190.91914425
2018-01-31,176,172,283.6964174828792,332.81050041417814,317.404717948718,310.19097435897436,680.0920969663324,590.0787339668386,7.67275,10.013944444444444,159.97083333333333,174.50680555555556,0.3147893004583333,0.16399158580555556,-12.08015075,-204.34529775
2018-02-01,167,168.8,240.30806344862629,321.8280595060866,301.1737948717949,304.4199794871795,335.4797475815488,589.2233097623614,6.56525,9.257347222222222,139.45000000000002,184.2472222222222,0.12308443250000001,0.22278547131944443,-74.333012325,-87.42916483333333
2018-02-02,165,165.3,377.00420539697234,312.70755852221316,297.5669230769231,298.10795384615386,1469.7145788441792,530.2154484759731,10.270916666666666,7.871597222222222,182.375,171.64583333333334,0.12004117120833334,0.19076892047222221,-36.616610099999995,-46.490995608333336
2018-02-03,191,162.7,559.9389154489568,322.34362283540094,344.4562564102564,293.4190205128205,1118.046960088517,630.3254688542627,4.139875,8.169638888888889,171.36583333333334,160.59861111111113,0.138382404375,0.18597163472222222,4.666594175,-41.009924391666665
2018-02-04,271,163.7,1025.5992302605296,348.71094148224074,488.73112820512824,295.2224564102564,2581.298254787708,682.6515155604441,7.46325,6.992013888888889,214.25416666666666,164.39694444444444,0.07871302108333333,0.12716933602777777,21.627772,-35.42767608333333
2018-02-05,347,173.6,669.6161401011333,425.27674751108276,625.7922564102564,313.0764717948718,1108.2306429596297,907.6035819609344,2.85075,7.291347222222222,142.360625,189.33166666666668,0.39855572266666667,0.11237886555555555,44.539859,-3.4407479749999985
2018-02-06,333,192.3,407.0282854788535,469.20928184796315,600.5441538461538,346.8007230769231,465.15242664102186,975.5768487528492,6.174083333333333,4.817958333333333,129.24166666666667,175.99354166666666,0.14638301179166666,0.205217049375,-6.20042055,23.611408391666668
2018-02-07,345,211,756.46460854376,489.2979125960405,622.1853846153847,380.52497435897436,1549.7937810554092,1006.8090344144072,11.960916666666666,5.496027777777778,181.08333333333334,161.95215277777777,0.08220575375,0.20788391851388888,-7.7574119249999995,19.98907015
2018-02-08,486,231.8,1194.6021634381425,540.0513680327499,876.4698461538462,418.036441025641,1392.7976952134634,1113.1235044243238,4.7210833333333335,6.9952499999999995,245.43175,150.89520833333333,0.5457811990416667,0.2090481627361111,69.10407425,10.194008841666667
2018-02-09,477,265.5,555.2292313044077,597.9772015437698,860.2389230769231,478.8122307692308,148.0108192208917,1147.172637486993,4.318458333333333,7.618694444444444,26.677458333333334,185.25225,0.665858109375,0.2581233215277778,30.841928,18.382080591666664
2018-02-10,406,295.8,369.8695343961393,606.9487260904261,732.1949743589744,533.4563384615385,68.83599250043476,1084.8617003358702,3.2901666666666665,7.000152777777777,101.08,151.06418055555557,0.5356945520416666,0.4312816873888889,16.62942285,30.729530108333332
2018-02-11,342,318.8,303.65994558765624,615.5660377817521,616.775076923077,574.9353641025641,44.93047710953833,1023.7360898892804,4.384041666666667,4.109902777777778,30.856375,124.39640277777778,0.681097675,0.5824446201527778,-33.14578725,38.858475033333335
2018-02-12,288,336.3,266.7589303966299,621.9012259956551,519.3895384615386,606.4954923076923,28.68803139919683,994.6811628420793,2.346375,3.9975555555555555,163.72125,52.87127777777778,0.6785240079583333,0.6275501121388889,46.86158365,4.775187866666667
