action,event_pk,rn,is_replicate,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,filtered,filter_type,volume,installed,collected,preserved,analyzed,lab_technician,nh4_,no2_no3_um,no2_no3_ugl,no2_no3_units,tp,tdp,tn,tdn,srp,po4,sio2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,nh4__flag,no2_no3_flag,tp_flag,tdp_flag,tn_flag,tdn_flag,srp_flag,po4_flag,sio2_flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,analyzing_lab,row_flag,metadata_qc_flag,quality_level,comments,quality_log,year,month,day
NA,10697557,2,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,2,QU39,NA,QNUT6930,M,50.0307000000001,-125.0992,50.030724,-125.102914,NA,10,10.6586026,NA,0.45nm,13,NA,2020-10-30T18:27:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697557,3,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,2,QU39,NA,QNUT6931,M,50.0307000000001,-125.0992,50.030724,-125.102914,NA,10,10.6586026,NA,0.45nm,13,NA,2020-10-30T18:27:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697557,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,2,QU39,NA,QNUT6932,M,50.0307000000001,-125.0992,50.030724,-125.102914,NA,20,20.5270167,NA,0.45nm,13,NA,2020-10-30T18:27:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697557,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,2,QU39,NA,QNUT6933,M,50.0307000000001,-125.0992,50.030724,-125.102914,NA,30,NA,NA,0.45nm,13,NA,2020-10-30T18:27:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697557,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,2,QU39,NA,QNUT6934,M,50.0307000000001,-125.0992,50.030724,-125.102914,NA,40,38.6919138,NA,0.45nm,13,NA,2020-10-30T18:27:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6935,M,50.0307000000001,-125.0992,NA,NA,NA,50,48.6785983,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,2,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6936,M,50.0307000000001,-125.0992,NA,NA,NA,50,48.6785983,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,3,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6937,M,50.0307000000001,-125.0992,NA,NA,NA,50,48.6785983,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6938,M,50.0307000000001,-125.0992,NA,NA,NA,75,NA,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6939,M,50.0307000000001,-125.0992,NA,NA,NA,100,96.4643474,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6940,M,50.0307000000001,-125.0992,NA,NA,NA,150,145.184143,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6941,M,50.0307000000001,-125.0992,NA,NA,NA,200,192.3423119,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,2,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6942,M,50.0307000000001,-125.0992,NA,NA,NA,200,192.3423119,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,3,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6943,M,50.0307000000001,-125.0992,NA,NA,NA,200,192.3423119,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,10697558,1,FALSE,2020-10-30,QUADRA,HAKAI,QOMA1,3,QU39,NA,QNUT6944,M,50.0307000000001,-125.0992,NA,NA,NA,260,248.3197943,NA,0.45nm,13,NA,2020-10-30T18:57:00Z,2020-10-30T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event Metadata QCd by FM,2020,10,30
NA,9469868,1,FALSE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,NUT12794,M,51.6505000000001,-127.9516,NA,NA,NA,0,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,1,FALSE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,NUT12795,M,51.6505000000001,-127.9516,NA,NA,NA,5,3.707515,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,1,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM081,M,51.6505000000001,-127.9516,NA,NA,NA,10,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,2,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM082,M,51.6505000000001,-127.9516,NA,NA,NA,10,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,3,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM083,M,51.6505000000001,-127.9516,NA,NA,NA,10,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,1,FALSE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM084,M,51.6505000000001,-127.9516,NA,NA,NA,20,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,1,FALSE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM085,M,51.6505000000001,-127.9516,NA,NA,NA,30,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,1,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM086,M,51.6505000000001,-127.9516,NA,NA,NA,50,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,2,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM087,M,51.6505000000001,-127.9516,NA,NA,NA,50,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
NA,9469868,3,TRUE,2020-11-04,CALVERT,HAKAI,KWAK,2,KC10,NA,CM088,M,51.6505000000001,-127.9516,NA,NA,NA,50,NA,NA,0.45nm,13,NA,2020-11-04T17:17:56Z,2020-11-04T19:52:20Z,NA,chris.osullivan;eva.jordison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Available,NA,Technicianm,NA,1: Event metadata QCd by EJ,2020,11,4
