date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1,tot_dis,tot_b1,wind_dm,wind_b1,wind_dir_dm,wind_dir_b1,par_dm,par_b1,up_dm,up_b1
2020-04-29,302,333.4,772.1013134929865,1073.5544791653488,544.637641025641,601.2655282051282,354.43045384763366,465.9014483529675,1671.169408366261,2140.7214557234443,4.66875,8.980825,218.25870833333335,182.49840833333334,0.46970411454166666,0.8828680886250002,-129.75768075,-225.87479374
2020-04-30,294,326.6,1170.8326138631485,1032.9762751777812,530.2101538461538,589.0021641025642,689.9701002530526,505.3608739063394,2391.012867962355,2127.3393131866846,2.76775,7.580433333333334,208.51833333333332,186.9362416666667,1.6675517283333334,1.0392581253416668,1.288318975,-201.09209085499998
2020-05-01,289,312.6,902.0675010125128,975.0093939545828,521.1929743589744,563.7540615384617,228.45714784183232,443.69865517418503,1651.7176232133197,1982.4621106672294,4.659166666666667,6.209200000000001,144.0105,183.589175,0.9062941385000001,1.077181076116667,-197.34789375,-141.84001960499998
2020-05-02,278,298.4,951.8041609567708,938.4780074904058,501.3551794871795,538.1452717948717,512.3038007880353,408.3090074253471,1965.463141231986,1884.9322867106246,5.206541666666666,5.688133333333334,164.39333333333335,179.85784166666667,0.421341245375,0.9010008510916669,-204.7937025,-166.70703710499998
2020-05-03,281,288.8,996.2857854740251,958.6182749598887,506.7654871794872,520.8322871794873,490.2974596245964,455.0917924710303,1993.3487322781089,1934.5423546104062,8.173875,5.095216666666667,159.36666666666667,178.90950833333335,1.3332615327916666,0.9596305519083336,-176.8122,-141.484631605
2020-05-04,269,282.2,726.1252723124519,949.4230667237819,485.1242564102564,508.92961025641034,175.91653328170395,419.3890083578443,1387.1660620044122,1877.7416853380364,6.355708333333333,5.4326083333333335,122.22333333333333,159.70243333333332,0.8530404156666667,1.0362978121333337,-351.8227275,-185.89764095499999
2020-05-05,252,273.8,685.5154343278675,852.3596308167256,454.4658461538462,493.78074871794877,474.2412917636149,376.24324665995675,1614.2225722453286,1722.3836261946312,5.081083333333333,5.895275,185.23041666666666,155.04485,1.641034824,1.030994431266667,-183.61451,-222.87820675
2020-05-06,239,263.8,821.5597115061983,836.2580729154628,431.0211794871795,475.74638974358976,335.4555277954392,397.64292265067814,1588.036418788817,1709.6473853097305,4.188916666666667,5.8012250000000005,195.44166666666666,165.33108333333334,1.7067854335833335,1.1910926902833334,-68.07180075,-197.02298815
2020-05-07,230,254.2,720.2500251740555,789.9472457589197,414.7902564102564,458.43340512820515,123.17844821146724,319.81785213536455,1258.218729795779,1568.1985030224891,2.534291666666667,5.266775000000001,192.66679166666665,170.985775,2.0959964336666665,1.5260237279416669,-67.75927675,-169.61610299999998
2020-05-08,220,242,813.2163291095692,753.3333544860285,396.75589743589745,436.43148717948725,74.35677364276577,236.6297149389984,1284.3290001882324,1426.3945566045138,2.7902916666666666,4.190058333333334,125.92170833333333,164.29678333333334,2.1602540739583334,1.6914222361750002,-14.916496174999999,-137.236962235
2020-05-09,243,236.8,1242.346926991277,856.5776854217935,438.2349230769231,427.05362051282054,62.860473483493585,214.01850297935636,1743.442323551694,1497.6498089139702,3.084166666666667,3.53575,91.54454166666667,158.161025,1.7224368942083332,1.8653015318833337,1.7870219500000002,-66.515012345
2020-05-10,312,248.8,1716.34129918033,1062.742858392286,562.672,448.69485128205133,62.25140887310551,131.62052640125447,2341.264708053436,1643.0582360755918,5.840833333333333,3.6877000000000004,43.21041666666667,129.757025,2.2182915975833333,1.9807528866000002,23.790116,-25.034087144999997
2020-05-11,402,281.4,1842.432318056686,1266.9173797023836,724.9812307692307,507.48686153846154,55.68249727536162,75.66592029723896,2623.096046101278,1850.070161538084,4.840791666666667,3.8180750000000003,118.52166666666666,114.37302500000001,2.1761486943333335,2.0746255387500003,14.509047,-8.517917594999998
2020-05-12,463,328,1792.4255907613076,1481.352492819834,834.9908205128205,591.5269743589744,46.08418295089103,60.247067245123716,2673.500594225019,2133.126534423932,1.904125,3.6920416666666673,233.52179166666667,122.544025,2.197767445375,2.094979741091667,-8.2816485,3.377608055000001
2020-05-13,508,385.6,1781.1368153782255,1674.9365900735652,916.1454358974358,695.404882051282,35.78716167073002,52.53314485071657,2733.069412946391,2422.8746169755636,2.164625,3.566908333333334,160.82279166666666,129.52424166666668,1.1608569475000001,1.8951003158000002,-28.776452125,0.6056168650000008
