date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1
2019-07-30,410,407.9,992.6354940568168,987.8797261407874,739.408717948718,735.6215025641026,35.97927669556049,161.71847037608032
2019-07-31,385,401.6,1024.9691784560378,1004.991838630086,694.3228205128205,724.2598564102565,66.91620887172483,160.97059999162065
2019-08-01,375,399.1,1261.7065393645812,1032.8940444161678,676.2884615384617,719.7512666666667,47.49222936728657,165.22588238732013
2019-08-02,460,399.3,2381.337884108602,1086.0266471300117,829.5805128205128,720.1119538461538,31.13130303316384,168.28786917903614
2019-08-03,500,410.2,1317.9119861945426,1249.3419070691386,901.7179487179488,739.7694051282051,21.438263856936388,170.19643975641125
2019-08-04,462,426.4,1000.614005460795,1307.825893292701,833.1873846153846,768.9850666666667,16.128125928850473,171.34291603114957
2019-08-05,428,439.5,925.9178086538996,1316.2524228051454,771.8705641025641,792.6100769230769,12.032289098024522,149.44226559106778
2019-08-06,408,446,906.674445483877,1266.3238449345226,735.8018461538461,804.3324102564103,9.643105667078109,76.16388567858618
2019-08-07,391,437.6,886.1470236354708,1179.2194593563345,705.1434358974359,789.1835487179487,8.055223853576777,40.50048993125826
2019-08-08,377,427,890.8696136883309,1159.0540635989676,679.8953333333334,770.0671282051283,7.4111734729068,30.516541955253025
2019-08-09,374,419.6,886.0875642414601,1158.8783979102955,674.4850256410257,756.7217025641025,6.962616808988375,25.62271998451088
2019-08-10,370,416,850.0092053506656,1148.2236049287596,667.271282051282,750.2293333333333,6.59129664926433,22.72105399585367
2019-08-11,357,414.5,808.004026092419,1130.7276076182225,643.8266153846154,747.5241794871795,6.165950354002228,16.688562773607618
2019-08-12,334,412.7,739.3930506175761,1085.3573562910062,602.3475897435898,744.2779948717949,6.0232166924034365,12.555934872279185
2019-08-13,319,400.1,700.7345866572448,921.1628729419036,575.2960512820513,721.5547025641026,23.893214643013977,10.045126238203144
2019-08-14,304,382,677.5237938797875,859.4451329881739,548.2445128205129,688.9125128205128,17.00034020061416,10.290621316810903
2019-08-15,291,366.2,688.0262189757946,827.1361118300731,524.7998461538461,660.4182256410256,9.901723221510766,10.377842743987271
2019-08-16,286,352.5,700.4565373075341,803.3469528622627,515.7826666666667,635.7111538461538,7.523216631526066,10.164786156335897
2019-08-17,278,340.3,657.1910301316373,782.7251620446284,501.3551794871795,613.709235897436,6.7771212118448725,9.952797252780691
2019-08-18,267,329,681.2248269365425,759.8295626942449,481.5173846153847,593.3304102564102,63.91993419786321,9.8249869886075
2019-08-19,266,318,680.0279681076368,738.8650840190662,479.7139487179487,573.4926153846154,63.26005573068368,15.475863061103142
2019-08-20,264,307.2,629.790266539071,718.2591244056838,476.1070769230769,554.0155076923077,25.202738561896567,21.105606953272673
2019-08-21,292,296.6,1129.5665317144285,696.2372305245244,526.6032820512821,534.8990871794872,87.60315447783107,22.9667511445359
2019-08-22,315,290.1,784.6617467805875,728.3934810867253,568.0823076923077,523.1767538461538,47.773605037204675,31.11047155691878
2019-08-23,318,288.2,1027.576367244338,732.9203507030264,573.4926153846154,519.7502256410256,109.1538051289285,35.2855103913989
2019-08-24,344,288.1,1212.8926625302263,765.6045287617358,620.3819487179487,519.5698820512821,241.66454920285625,43.81156943999036
2019-08-25,338,292.1,812.0812873393616,819.1414156267797,609.5613333333333,526.7836256410257,91.49275831414565,66.27799034021457
2019-08-26,312,296.8,623.2427318620994,831.5469224631363,562.672,535.2597743589744,44.4135483087397,74.43709384947806
2019-08-27,296,299.4,701.9827890625415,823.8255419185929,533.8170256410257,539.9487076923077,62.55180864144924,78.12612701719942
2019-08-28,308,301.2,789.5476870175034,828.3047178116833,555.4582564102564,543.1948923076923,61.579257431911614,83.70359576015986
2019-08-29,295,305.3,662.0844884867445,839.1370038197794,532.0135897435897,550.5889794871795,33.20464042969879,83.4695280835647
2019-08-30,286,308.2,630.5773769025561,837.3426558576901,515.7826666666667,555.8189435897436,20.729463251285633,80.4639865534662
2019-08-31,294,310.4,691.1384705697614,837.4213668940387,530.2101538461538,559.7865025641025,97.20512601432816,80.01665902240511
2019-09-01,305,310.6,675.2497748114394,793.578560779572,550.0479487179487,560.1471897435897,103.32671198170658,80.97685617605482
2019-09-02,295,309.6,630.1320838272404,782.6373635826571,532.0135897435897,558.3437538461538,58.12930664595257,86.53216687050501
2019-09-03,286,307.3,613.2934159791768,742.8929352409474,515.7826666666667,554.1958512820513,30.49873397430004,81.42971702220741
2019-09-04,281,301.5,635.4152808918279,682.9330105858425,506.7654871794872,543.7359230769231,20.15111373977045,60.313135499351795
2019-09-05,265,295.8,552.5453955746685,665.266409941089,477.91051282051274,533.4563384615385,15.271323094967554,53.17897104191428
2019-09-06,245,291.1,473.1218015528919,658.196676312346,441.8417948717948,524.9801897435898,12.003778255974275,50.26474852053706
2019-09-07,238,286,506.8708356548634,635.310577561381,429.2177435897436,515.7826666666666,9.876684914819856,45.209945481989564
2019-09-08,227,279,481.1953760669616,607.042892425117,409.3799487179488,503.15861538461536,8.825825964965786,40.03968823028039
2019-09-09,229,272.2,631.9042014495897,588.9539811831387,412.98682051282054,490.8952512820513,98.95023490950872,37.60180678380709
2019-09-10,230,266.5,517.5040245997111,589.0866636378421,414.7902564102564,480.61566666666664,114.24719658768691,45.4238839496294
2019-09-11,226,260.1,541.0880078669427,571.7232190408371,407.5765128205128,469.0736769230769,60.47410305152969,47.12809100696528
2019-09-12,258,252.2,1446.562865541809,558.3070423463874,465.2864615384616,454.8265333333333,361.8757826336495,42.842830113947585
2019-09-13,319,248.5,1591.5792948797807,639.9501205178443,575.2960512820513,448.1538205128205,1058.8856145906482,73.21747771271728
2019-09-14,559,251.8,2533.185972874082,737.7787084079047,1008.1206666666668,454.10515897435897,1389.882417538705,176.05616577435208
2019-09-15,652,279.6,1356.0074536722864,927.55577760613,1175.840205128205,504.24067692307693,179.23816826987465,313.02929615424557
2019-09-16,549,318.3,847.1999607345184,1007.9019834158919,990.0863076923076,574.0336461538461,77.05216069887734,329.4259806717363
2019-09-17,453,348.7,1061.099663635231,1045.3097993340546,816.9564615384616,628.8580974358974,145.1945938096617,335.93081891602657
2019-09-18,379,370.2,647.814961569446,1100.7326821320912,683.5022051282051,667.6319692307693,91.87713224427972,349.46260980551074
2019-09-19,313,385.4,483.4358972388098,1117.3946406823397,564.4754358974359,695.0441948717948,51.90185711563473,357.76774043344216
2019-09-20,264,393.8,447.78732086947736,1102.5478102612617,476.1070769230769,710.1930564102564,37.006812676261184,353.06290265405477
2019-09-21,237,397.2,624.878989120223,1095.5761398882382,427.4143076923077,716.3247384615385,192.44349307195216,345.3388642629122
2019-09-22,295,398.3,1856.7871878150984,1103.9552380135665,532.0135897435897,718.308517948718,673.6657403128927,358.53580326495444
2019-09-23,319,402,1131.3568610731568,1144.9776702408953,575.2960512820513,724.9812307692307,147.93337594960929,389.7147990328788
2019-09-24,314,402,1130.5854994718145,1098.9554268602328,566.2788717948717,724.9812307692307,125.24240381353108,298.6195751687749
2019-09-25,308,377.5,1006.2630632266734,958.6953795200062,555.4582564102564,680.7970512820513,139.73654627390752,172.15557379625744
2019-09-26,417,343.1,1513.8467671608323,923.7209404754449,752.0327692307692,618.7588564102564,289.17466802906756,168.20541159666075
2019-09-27,409,329.9,760.9041327722078,990.3856211180763,737.6052820512821,594.9535025641026,106.17313144118448,189.41766232967976
2019-09-28,345,325.5,501.3918306515377,960.3660680317739,622.1853846153847,587.0183846153845,56.29428860079944,185.51551609283203
2019-09-29,280,322.1,376.7237118573329,945.7237549399831,504.9620512820512,580.8867025641025,33.949883166141404,181.957231728484
2019-09-30,228,318.8,318.2495359941397,935.0525364018354,411.1833846153846,574.9353641025641,23.844774202288676,180.16203433353468
2019-10-01,189,315.2,280.1717900819971,922.0987579143016,340.84938461538457,568.4429948717949,18.876174564842454,178.84583048613743
2019-10-02,160,310.4,259.66412536361634,887.628038010479,288.54974358974357,559.7865025641025,16.549891513352307,161.48909863542647
2019-10-03,139,296.9,267.75353557163254,727.9157317653309,250.67758974358975,535.4401179487179,97.9761644448962,95.77751375547243
2019-10-04,124,278.9,281.2092907557354,641.5553992151785,223.6260512820513,502.9782717948718,103.81704153374469,90.78179260500112
2019-10-05,114,259.9,307.0037397244687,556.6177783435705,205.5916923076923,468.71298974358973,70.76138836152421,88.63925637702248
2019-10-06,105,240.5,297.6939832647696,486.69184599335006,189.36076923076925,433.72633333333334,63.495966085902595,81.74174058578414
2019-10-07,172,209.3,1763.8022922636103,365.0765676037438,310.19097435897436,377.45913333333334,1085.5339939349478,59.173870391467645
2019-10-08,254,185.6,870.8807302807401,465.36638355288403,458.0727179487179,334.7177025641026,270.2231399358369,157.109956640844
2019-10-09,234,176.5,497.92619921930327,502.3152735158043,422.004,318.3064358974359,88.02533729977995,178.50284177434773
2019-10-10,200,171.9,378.3659562091538,514.4355222520013,360.6871794871795,310.0106307692308,51.17223746495128,183.9103871877116
2019-10-11,169,169.1,318.4327291215624,520.4471642735027,304.78066666666666,304.96101025641025,38.6840172635052,186.64313351397783
2019-10-12,149,167.1,316.14302343708533,524.2732581774592,268.71194871794876,301.35413846153847,123.97307754205492,188.62391778384412
2019-10-13,136,166,303.1482762250832,529.9211479848061,245.26728205128205,299.37035897435896,72.4965846267956,199.36623638671438
2019-10-14,122,165.7,270.86225018418696,533.4606220501512,220.01917948717949,298.8293282051282,52.22720267595973,196.8182784049043
2019-10-15,123,165.5,673.8152063031622,532.4259179929963,221.82261538461535,298.46864102564103,209.9504627935718,191.6592945191258
2019-10-16,147,166.4,896.3737531628483,569.1070646508657,265.1050769230769,300.0917333333333,676.5054773511954,205.57820196233058
2019-10-17,193,170.6,1426.0054577458793,628.9750416406736,348.06312820512824,307.6661641025641,1624.4695934779777,266.8791530888599
2019-10-18,253,172.7,1281.072933742114,595.1953581889005,456.26928205128206,311.4533794871795,801.7512156018472,320.77271304316287
2019-10-19,264,172.6,656.4478255723739,636.2145785350378,476.1070769230769,311.2730358974359,311.80337986537734,373.92552060976385
2019-10-20,243,175.6,589.1331993189519,652.0667411703449,438.2349230769231,316.6833435897436,706.8535121561458,396.30332486632363
2019-10-21,231,179.9,994.6341639568994,673.1434654813247,416.5936923076923,324.43811794871795,774.7673681157856,461.87145233544305
2019-10-22,268,186.1,1122.6926405333902,740.7636089648585,483.32082051282055,335.6194205128205,487.7683238454307,535.4797874206711
2019-10-23,269,198,547.4860427626433,821.4185706744889,485.1242564102564,357.0803076923077,116.73273066527064,571.8593120510087
2019-10-24,279,211.3,1186.9713249734052,845.852347328245,503.15861538461536,381.0660051282051,129.40794170172603,576.2829266548562
2019-10-25,580,227,2986.1955193823387,937.4632548071668,1045.9928205128206,409.3799487179487,1618.097328156657,584.0010005574328
2019-10-26,628,272.7,1384.5791973391076,1168.7012861150845,1132.5577435897435,491.79696923076926,187.960447486776,724.8156870937413
2019-10-27,501,320.8,939.5708386649436,1217.5218305327103,903.5213846153848,578.542235897436,79.52851684717218,675.9611841072995
2019-10-28,391,351.6,720.5009806452285,1168.8783686246168,705.1434358974359,634.0880615384616,53.08578652725333,521.4670764442188
2019-10-29,309,365.4,567.9194456233295,1112.8211733149283,557.2616923076923,658.9754769230769,38.27933322443103,446.6005335367595
2019-10-30,249,369.9,480.72092792173095,1103.9683353200237,449.0555384615385,667.0909384615385,27.520923515334633,419.24812887266484
2019-10-31,205,370.5,431.9937395058047,1093.1271081803018,369.704358974359,668.173,22.746242769680727,351.31487000858374
2019-11-01,172,367.9,405.04234700852254,1036.8630657351923,310.19097435897436,663.4840666666666,20.239588143602077,276.11275747397326
2019-11-02,148,358.3,412.8653699538177,965.0980363827055,266.90851282051284,646.171082051282,18.98502685280628,229.35988390379038
2019-11-03,131,346.2,439.20048387080067,951.6359691018229,236.25010256410255,624.3495076923077,19.158051386668053,219.58511352254394
2019-11-04,121,331.4,468.0717665915976,876.8588849915625,218.2157435897436,597.6586564102564,18.104816575981665,208.56012449103815
2019-11-05,112,285.5,423.1290482506443,625.0465097124884,201.9848205128205,514.8809487179487,16.06215516949106,48.560873332970594
2019-11-06,102,233.9,381.3345543849627,528.901494803642,183.95046153846152,421.82365641025643,13.90886447655999,31.371044101242106
2019-11-07,96.5,194,453.1607855771512,473.0778663756439,174.03156410256412,349.8665641025641,15.471509726457116,24.809078864180883
2019-11-08,118,164.55,606.6844726121483,446.3438468688362,212.80543589743587,296.75537692307694,29.79913736876549,21.047651184101262
