Date,Watershed_group,Q
2018-02-04T08:00:00Z,Q_RA,2581.298254787708
2018-02-05T08:00:00Z,Q_Total,2403.6390394710193
2018-02-05T08:00:00Z,Q_GM,625.7922564102564
2018-02-05T08:00:00Z,Q_SM,669.6161401011333
2018-02-05T08:00:00Z,Q_RA,1108.2306429596297
2018-02-06T08:00:00Z,Q_Total,1472.724865966029
2018-02-06T08:00:00Z,Q_GM,600.5441538461538
2018-02-06T08:00:00Z,Q_SM,407.0282854788535
2018-02-06T08:00:00Z,Q_RA,465.15242664102186
2018-02-07T08:00:00Z,Q_Total,2928.443774214554
2018-02-07T08:00:00Z,Q_GM,622.1853846153847
2018-02-07T08:00:00Z,Q_SM,756.46460854376
2018-02-07T08:00:00Z,Q_RA,1549.7937810554092
2018-02-08T08:00:00Z,Q_Total,3463.8697048054523
2018-02-08T08:00:00Z,Q_GM,876.4698461538462
2018-02-08T08:00:00Z,Q_SM,1194.6021634381425
2018-02-08T08:00:00Z,Q_RA,1392.7976952134634
2018-02-09T08:00:00Z,Q_Total,1563.4789736022226
2018-02-09T08:00:00Z,Q_GM,860.2389230769231
2018-02-09T08:00:00Z,Q_SM,555.2292313044077
2018-02-09T08:00:00Z,Q_RA,148.0108192208917
2018-02-10T08:00:00Z,Q_Total,1170.9005012555483
2018-02-10T08:00:00Z,Q_GM,732.1949743589744
2018-02-10T08:00:00Z,Q_SM,369.8695343961393
2018-02-10T08:00:00Z,Q_RA,68.83599250043476
2018-02-11T08:00:00Z,Q_Total,965.3654996202715
2018-02-11T08:00:00Z,Q_GM,616.775076923077
2018-02-11T08:00:00Z,Q_SM,303.65994558765624
2018-02-11T08:00:00Z,Q_RA,44.93047710953833
2018-02-12T08:00:00Z,Q_Total,814.8365002573652
2018-02-12T08:00:00Z,Q_GM,519.3895384615386
2018-02-12T08:00:00Z,Q_SM,266.7589303966299
2018-02-12T08:00:00Z,Q_RA,28.68803139919683
2018-02-13T08:00:00Z,Q_Total,1111.8536670089113
2018-02-13T08:00:00Z,Q_GM,449.0555384615385
2018-02-13T08:00:00Z,Q_SM,255.8631820590793
2018-02-13T08:00:00Z,Q_RA,406.9349464882934
2018-02-14T08:00:00Z,Q_Total,907.32779138414935
2018-02-14T08:00:00Z,Q_GM,398.5593333333333
2018-02-14T08:00:00Z,Q_SM,233.5587396615765
2018-02-14T08:00:00Z,Q_RA,275.2097183892394
2018-02-15T08:00:00Z,Q_Total,647.2083857047332
2018-02-15T08:00:00Z,Q_GM,351.6700000000001
2018-02-15T08:00:00Z,Q_SM,213.66321088154757
2018-02-15T08:00:00Z,Q_RA,81.87517482318553
2018-02-16T08:00:00Z,Q_Total,643.9212947069145
2018-02-16T08:00:00Z,Q_GM,315.60128205128206
2018-02-16T08:00:00Z,Q_SM,204.5800458238714
2018-02-16T08:00:00Z,Q_RA,123.73996683176104
2018-02-17T08:00:00Z,Q_Total,607.7084962945883
2018-02-17T08:00:00Z,Q_GM,286.7463076923077
2018-02-17T08:00:00Z,Q_SM,200.26303967078735
2018-02-17T08:00:00Z,Q_RA,120.69914893149306
