measurementTime,year,month,waterYear,sw_xCO2_QL,sw_xCO2_QC,sw_xCO2_UQL,sw_xCO2,atm_xCO2_QL,atm_xCO2_QC,atm_xCO2_UQL,atm_xCO2
5/5/2018 3:00,2018,May,2017-2018,1,,2,259.8,1,,2,446.92
5/5/2018 4:00,2018,May,2017-2018,1,,2,254.75,1,,2,441.04
5/5/2018 5:00,2018,May,2017-2018,1,,2,257.05,1,,2,439.98
5/5/2018 6:00,2018,May,2017-2018,1,,2,225.15,1,,2,436.96
5/5/2018 7:00,2018,May,2017-2018,1,,2,232.34,1,,2,429.69
5/5/2018 8:00,2018,May,2017-2018,1,,2,218.08,1,,2,428.63
5/5/2018 9:00,2018,May,2017-2018,1,,2,228.54,1,,2,422.02
5/5/2018 10:00,2018,May,2017-2018,1,,2,236.33,1,,2,418.7
5/5/2018 11:00,2018,May,2017-2018,1,,2,243.91,1,,2,422.93
5/5/2018 12:00,2018,May,2017-2018,1,,2,236.33,1,,2,423.27
5/5/2018 13:00,2018,May,2017-2018,1,,2,243.16,1,,2,421.45
5/5/2018 14:00,2018,May,2017-2018,1,,2,245.21,1,,2,421.43
5/5/2018 15:00,2018,May,2017-2018,1,,2,241.83,1,,2,421.51
5/5/2018 16:00,2018,May,2017-2018,1,,2,272.44,1,,2,420.06
5/5/2018 17:00,2018,May,2017-2018,1,,2,274.57,1,,2,420.6
5/5/2018 18:00,2018,May,2017-2018,1,,2,268.41,1,,2,419.03
5/5/2018 19:00,2018,May,2017-2018,1,,2,230.38,1,,2,420.94
5/5/2018 20:00,2018,May,2017-2018,1,,2,235.84,1,,2,421.94
5/5/2018 21:00,2018,May,2017-2018,1,,2,236.33,1,,2,423.77
5/5/2018 22:00,2018,May,2017-2018,1,,2,245.56,1,,2,433.72
5/5/2018 23:00,2018,May,2017-2018,1,,2,236.05,1,,2,434.35
5/6/2018 0:00,2018,May,2017-2018,1,,2,238.48,1,,2,436.88
5/6/2018 1:00,2018,May,2017-2018,1,,2,238.9,1,,2,430.25
5/6/2018 2:00,2018,May,2017-2018,1,,2,239.78,1,,2,433.77
5/6/2018 3:00,2018,May,2017-2018,1,,2,241.68,1,,2,445.32
5/6/2018 4:00,2018,May,2017-2018,1,,2,248.31,1,,2,434.6
5/6/2018 5:00,2018,May,2017-2018,1,,2,244.53,1,,2,440.97
5/6/2018 6:00,2018,May,2017-2018,1,,2,243.34,1,,2,442.51
5/6/2018 7:00,2018,May,2017-2018,1,,2,241.96,1,,2,436.02
5/6/2018 8:00,2018,May,2017-2018,1,,2,235.56,1,,2,429.77
5/6/2018 9:00,2018,May,2017-2018,1,,2,242.31,1,,2,432.43
5/6/2018 10:00,2018,May,2017-2018,1,,2,245.06,1,,2,428.91
5/6/2018 11:00,2018,May,2017-2018,1,,2,238.74,1,,2,424.98
5/6/2018 12:00,2018,May,2017-2018,1,,2,234.4,1,,2,423.71
5/6/2018 13:00,2018,May,2017-2018,1,,2,233.28,1,,2,423.84
5/6/2018 14:00,2018,May,2017-2018,1,,2,232.93,1,,2,422.68
5/6/2018 15:00,2018,May,2017-2018,1,,2,235.94,1,,2,424.09
5/6/2018 16:00,2018,May,2017-2018,1,,2,229.54,1,,2,423.07
5/6/2018 17:00,2018,May,2017-2018,1,,2,225.73,1,,2,422.13
5/6/2018 18:00,2018,May,2017-2018,1,,2,230.62,1,,2,421.68
5/6/2018 19:00,2018,May,2017-2018,1,,2,221.19,1,,2,422.25
5/6/2018 20:00,2018,May,2017-2018,1,,2,219.25,1,,2,422.61
5/6/2018 21:00,2018,May,2017-2018,1,,2,221.39,1,,2,423.63
5/6/2018 22:00,2018,May,2017-2018,1,,2,232.13,1,,2,424.82
5/6/2018 23:00,2018,May,2017-2018,1,,2,231.67,1,,2,426.65
5/7/2018 0:00,2018,May,2017-2018,1,,2,234.38,1,,2,426.73
5/7/2018 1:00,2018,May,2017-2018,1,,2,237.44,1,,2,431.06
5/7/2018 2:00,2018,May,2017-2018,1,,2,232.67,1,,2,426.43
5/7/2018 3:00,2018,May,2017-2018,1,,2,231.98,1,,2,434.93
5/7/2018 4:00,2018,May,2017-2018,1,,2,235.05,1,,2,430.68
5/7/2018 5:00,2018,May,2017-2018,1,,2,236.22,1,,2,428.63
5/7/2018 6:00,2018,May,2017-2018,1,,2,234.99,1,,2,425.58
5/7/2018 7:00,2018,May,2017-2018,1,,2,230.87,1,,2,426.93
5/7/2018 8:00,2018,May,2017-2018,1,,2,228.07,1,,2,422.82
5/7/2018 9:00,2018,May,2017-2018,1,,2,226.36,1,,2,422.41
5/7/2018 10:00,2018,May,2017-2018,1,,2,224.08,1,,2,421.02
5/7/2018 11:00,2018,May,2017-2018,1,,2,223.28,1,,2,420.6
5/7/2018 12:00,2018,May,2017-2018,1,,2,224.57,1,,2,419.8
5/7/2018 13:00,2018,May,2017-2018,1,,2,230.75,1,,2,420.11
5/7/2018 14:00,2018,May,2017-2018,1,,2,223.62,1,,2,420.42
5/7/2018 15:00,2018,May,2017-2018,1,,2,221.86,1,,2,420.4
5/7/2018 16:00,2018,May,2017-2018,1,,2,218.76,1,,2,420.53
5/7/2018 17:00,2018,May,2017-2018,1,,2,210.32,1,,2,418.88
5/7/2018 18:00,2018,May,2017-2018,1,,2,213.65,1,,2,420.62
5/7/2018 19:00,2018,May,2017-2018,1,,2,208.19,1,,2,421.3
5/7/2018 20:00,2018,May,2017-2018,1,,2,207.83,1,,2,421.62
5/7/2018 21:00,2018,May,2017-2018,1,,2,208.84,1,,2,422.45
5/7/2018 22:00,2018,May,2017-2018,1,,2,209.55,1,,2,422.38
5/7/2018 23:00,2018,May,2017-2018,1,,2,215.05,1,,2,423.75
5/8/2018 0:00,2018,May,2017-2018,1,,2,217.5,1,,2,423.73
5/8/2018 1:00,2018,May,2017-2018,1,,2,215.54,1,,2,423.74
5/8/2018 2:00,2018,May,2017-2018,1,,2,217.99,1,,2,424.13
5/8/2018 3:00,2018,May,2017-2018,1,,2,218.22,1,,2,426.34
5/8/2018 4:00,2018,May,2017-2018,1,,2,218.96,1,,2,428.12
5/8/2018 5:00,2018,May,2017-2018,1,,2,220.47,1,,2,430.81
5/8/2018 6:00,2018,May,2017-2018,1,,2,233.52,1,,2,428.2
5/8/2018 7:00,2018,May,2017-2018,1,,2,225.57,1,,2,428.24
5/8/2018 8:00,2018,May,2017-2018,1,,2,222.86,1,,2,426.3
5/8/2018 9:00,2018,May,2017-2018,1,,2,220.38,1,,2,425.95
5/8/2018 10:00,2018,May,2017-2018,1,,2,224.84,1,,2,424.21
5/8/2018 11:00,2018,May,2017-2018,1,,2,219.25,1,,2,424.22
5/8/2018 12:00,2018,May,2017-2018,1,,2,214.86,1,,2,424.06
5/8/2018 13:00,2018,May,2017-2018,1,,2,212.12,1,,2,424.43
5/8/2018 14:00,2018,May,2017-2018,1,,2,210.14,1,,2,424.21
5/8/2018 15:00,2018,May,2017-2018,1,,2,207.24,1,,2,421.84
5/8/2018 16:00,2018,May,2017-2018,1,,2,204.92,1,,2,421.5
5/8/2018 17:00,2018,May,2017-2018,1,,2,203.65,1,,2,421.43
5/8/2018 18:00,2018,May,2017-2018,1,,2,202.38,1,,2,419.41
5/8/2018 19:00,2018,May,2017-2018,1,,2,202.13,1,,2,418.6
5/8/2018 20:00,2018,May,2017-2018,1,,2,201.72,1,,2,424.36
5/8/2018 21:00,2018,May,2017-2018,1,,2,202.12,1,,2,424.22
5/8/2018 22:00,2018,May,2017-2018,1,,2,215.92,1,,2,444.69
5/8/2018 23:00,2018,May,2017-2018,1,,2,219.96,1,,2,438.23
5/9/2018 0:00,2018,May,2017-2018,1,,2,217.69,1,,2,433.56
5/9/2018 1:00,2018,May,2017-2018,1,,2,218.66,1,,2,425.15
5/9/2018 2:00,2018,May,2017-2018,1,,2,219.56,1,,2,422.18
5/9/2018 3:00,2018,May,2017-2018,1,,2,221.02,1,,2,424.13
5/9/2018 4:00,2018,May,2017-2018,1,,2,221.51,1,,2,424.68
5/9/2018 5:00,2018,May,2017-2018,1,,2,219.86,1,,2,421.98
5/9/2018 6:00,2018,May,2017-2018,1,,2,216.66,1,,2,423.67
5/9/2018 7:00,2018,May,2017-2018,1,,2,211.29,1,,2,424.78
5/9/2018 8:00,2018,May,2017-2018,1,,2,210.09,1,,2,425.21
5/9/2018 9:00,2018,May,2017-2018,1,,2,218.43,1,,2,424.51
5/9/2018 10:00,2018,May,2017-2018,1,,2,222.52,1,,2,424.85
5/9/2018 11:00,2018,May,2017-2018,1,,2,233.25,1,,2,422.99
5/9/2018 12:00,2018,May,2017-2018,1,,2,224.85,1,,2,422.55
5/9/2018 13:00,2018,May,2017-2018,1,,2,221.42,1,,2,422.9
5/9/2018 14:00,2018,May,2017-2018,1,,2,221.77,1,,2,421.92
5/9/2018 15:00,2018,May,2017-2018,1,,2,218.91,1,,2,421.67
5/9/2018 16:00,2018,May,2017-2018,1,,2,214.75,1,,2,424.59
5/9/2018 17:00,2018,May,2017-2018,1,,2,205.34,1,,2,422.08
5/9/2018 18:00,2018,May,2017-2018,1,,2,208.51,1,,2,422.61
5/9/2018 19:00,2018,May,2017-2018,1,,2,206.15,1,,2,423.19
5/9/2018 20:00,2018,May,2017-2018,1,,2,200.4,1,,2,424.3
5/9/2018 21:00,2018,May,2017-2018,1,,2,202.26,1,,2,424.85
5/9/2018 22:00,2018,May,2017-2018,1,,2,206.61,1,,2,425.39
5/9/2018 23:00,2018,May,2017-2018,1,,2,210.52,1,,2,425.88
5/10/2018 0:00,2018,May,2017-2018,1,,2,232.36,1,,2,424.74
5/10/2018 1:00,2018,May,2017-2018,1,,2,250.64,1,,2,424.87
5/10/2018 2:00,2018,May,2017-2018,1,,2,235.14,1,,2,423.46
5/10/2018 3:00,2018,May,2017-2018,1,,2,257.24,1,,2,426.73
5/10/2018 4:00,2018,May,2017-2018,1,,2,221.43,1,,2,426.4
5/10/2018 5:00,2018,May,2017-2018,1,,2,219,1,,2,427.3
5/10/2018 6:00,2018,May,2017-2018,1,,2,216.51,1,,2,427.16
5/10/2018 7:00,2018,May,2017-2018,1,,2,220.7,1,,2,423.21
5/10/2018 8:00,2018,May,2017-2018,1,,2,217.76,1,,2,425.88
5/10/2018 9:00,2018,May,2017-2018,1,,2,217.97,1,,2,424.94
5/10/2018 10:00,2018,May,2017-2018,1,,2,214.9,1,,2,423.82
5/10/2018 11:00,2018,May,2017-2018,1,,2,216.61,1,,2,423.78
5/10/2018 12:00,2018,May,2017-2018,1,,2,217.65,1,,2,424.08
5/10/2018 13:00,2018,May,2017-2018,1,,2,228.84,1,,2,424.46
5/10/2018 14:00,2018,May,2017-2018,1,,2,240.63,1,,2,423.09
5/10/2018 15:00,2018,May,2017-2018,1,,2,228.18,1,,2,423.26
5/10/2018 16:00,2018,May,2017-2018,1,,2,248.43,1,,2,426.08
5/10/2018 17:00,2018,May,2017-2018,1,,2,241.48,1,,2,424.56
5/10/2018 18:00,2018,May,2017-2018,1,,2,246.55,1,,2,423.52
5/10/2018 19:00,2018,May,2017-2018,1,,2,243.04,1,,2,423.49
5/10/2018 20:00,2018,May,2017-2018,1,,2,244.14,1,,2,424.38
5/10/2018 21:00,2018,May,2017-2018,1,,2,244.18,1,,2,424.12
