action,event_pk,date,work_area,organization,survey,sampling_bout,site_id,lat,long,secchi_type,line_out_depth,hakai_id,row_flag,quality_level,comments,quality_log
,420169,2018-07-24,CALVERT,HAKAI,RVRS,3,DFO2,51.5208000000001,-127.5583,,3,DFO2_2018-07-24_3,Collected,Technicianm,,1: Sample Metadata QCd by EJ
,420763,2018-07-30,QUADRA,HAKAI,QOMB,4,QU39,50.0307000000001,-125.0992,,8,QU39_2018-07-30_4,Collected,Raw,,
,421334,2018-07-31,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,9.5,QU39_2018-07-31_2,Collected,Raw,,
,422067,2018-08-09,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,20,QU39_2018-08-09_3,Collected,Raw,,
,422483,2018-08-14,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,6.5,QU39_2018-08-14_3,Collected,Raw,,
,422485,2018-08-14,QUADRA,HAKAI,QOMA5,4,QU39,50.0307000000001,-125.0992,,6.5,QU39_2018-08-14_4,Collected,Raw,,
,422492,2018-08-15,QUADRA,HAKAI,QOMB,4,QU39,50.0307000000001,-125.0992,,10,QU39_2018-08-15_4,Collected,Raw,,
,423948,2018-08-19,CALVERT,HAKAI,FZH,4,KC10,51.6505000000001,-127.9516,,5,KC10_2018-08-19_4,Collected,Technicianm,,1: Sample metatada QCd by EJ
,424239,2018-08-21,QUADRA,HAKAI,QOMA1,4,QU39,50.0307000000001,-125.0992,,8,QU39_2018-08-21_4,Collected,Raw,,
,424642,2018-08-21,CALVERT,HAKAI,RVRS,4,DFO2,51.5208000000001,-127.5583,,2,DFO2_2018-08-21_4,Collected,Technicianm,,1: Sample metatada QCd by EJ
,427635,2018-08-28,CALVERT,HAKAI,KWY;QCS_V1,1,QCS01,51.705,-128.2384,,6,QCS01_2018-08-28_1,Collected,Technicianm,,1: Sample Metadata QCd by EJ
,427748,2018-08-29,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,3.5,QU39_2018-08-29_3,Collected,Raw,,
,428239,2018-09-04,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,5,QU39_2018-09-04_3,Collected,Raw,,
,428375,2018-09-05,QUADRA,HAKAI,QRAFT1,4,QU39,50.0307000000001,-125.0992,,4,QU39_2018-09-05_4,Collected,Raw,,
,429170,2018-09-11,CALVERT,HAKAI,FZH,3,KC10,51.6505000000001,-127.9516,,14,KC10_2018-09-11_3,Collected,Raw,,
,429415,2018-09-13,QUADRA,HAKAI,QOMA5;QOMD,3,QU39,50.0307000000001,-125.0992,,9,QU39_2018-09-13_3,Collected,Raw,,
,430719,2018-09-13,CALVERT,HAKAI,KWY;QCS_V1,4,QCS01,51.705,-128.2384,,12,QCS01_2018-09-13_4,Collected,Raw,,
,430753,2018-09-14,CALVERT,HAKAI,RVRS,1,DFO2,51.5208000000001,-127.5583,,3.5,DFO2_2018-09-14_1,Collected,Raw,,1: Event Metadata QCd by LQ.
,431347,2018-09-18,QUADRA,HAKAI,QOMA1,4,QU39,50.0307000000001,-125.0992,,7.5,QU39_2018-09-18_4,Collected,Raw,,
,433090,2018-09-25,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,4.5,QU39_2018-09-25_3,Collected,Raw,,
,433624,2018-09-27,QUADRA,HAKAI,QRAFTB,4,QU39,50.0307000000001,-125.0992,,7,QU39_2018-09-27_4,Collected,Raw,,
,435176,2018-10-03,QUADRA,HAKAI,MARIA,2,QU39,50.0307000000001,-125.0992,,9,QU39_2018-10-03_2,Collected,Raw,,
,435711,2018-10-04,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,5,QU39_2018-10-04_3,Collected,Raw,,
,435571,2018-10-09,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,11,QU39_2018-10-09_3,Collected,Raw,,
,435739,2018-10-12,QUADRA,HAKAI,QRAFTB,1,QU39,50.0307000000001,-125.0992,,8.5,QU39_2018-10-12_1,Collected,Raw,,
,437983,2018-10-16,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,5,QU39_2018-10-16_3,Collected,Raw,,
,438888,2018-10-23,CALVERT,HAKAI,FZH,2,KC10,51.6505000000001,-127.9516,,11.5,KC10_2018-10-23_2,Collected,Technicianmr,,1: Secchi metadata QCd by BF
,438965,2018-10-24,QUADRA,HAKAI,QOMA5,1,QU39,50.0307000000001,-125.0992,,12,QU39_2018-10-24_1,Collected,Raw,,
,440195,2018-10-30,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,12.5,QU39_2018-10-30_1,Collected,Raw,,
,443573,2018-11-07,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,15,QU39_2018-11-07_3,Collected,Raw,,
,442300,2018-11-08,QUADRA,HAKAI,QRAFTB,4,QU39,50.0307000000001,-125.0992,,12,QU39_2018-11-08_4,Collected,Raw,,
,447198,2018-11-16,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,11.5,QU39_2018-11-16_3,Collected,Raw,,1: Event QC'd by EM
,445893,2018-11-19,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,12,QU39_2018-11-19_3,Collected,Raw,,
,447160,2018-11-21,CALVERT,HAKAI,FZH,2,KC10,51.6505000000001,-127.9516,,5.5,KC10_2018-11-21_2,Collected,Technicianm,,1: Secchi event data QC'd by CO
,448979,2018-11-28,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,13.5,QU39_2018-11-28_1,Collected,Raw,,
,449763,2018-12-04,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,13,QU39_2018-12-04_2,Collected,Raw,,
,450586,2018-12-05,QUADRA,HAKAI,QRAFTB,4,QU39,50.0307000000001,-125.0992,,21.5,QU39_2018-12-05_4,Collected,Raw,,
,455641,2018-12-19,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,12.5,QU39_2018-12-19_1,Collected,Raw,,
,457844,2019-01-16,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,17,QU39_2019-01-16_2,Collected,Technicianm,,1: Secchi QC'd by CM
,458159,2019-01-21,CALVERT,HAKAI,KWAK;FZH,2,KC10,51.6505000000001,-127.9516,,12,KC10_2019-01-21_2,Collected,Technicianm,,1: Event QC'd by EM2: secchi depth not on logsheet - cm. Secchi QCd by CM
,458632,2019-01-23,QUADRA,HAKAI,QOMA1;QOMA5,2,QU39,50.0307000000001,-125.0992,,15.5,QU39_2019-01-23_2,Collected,Technicianm,,1: Secchi QC'd by CM
,458867,2019-01-24,CALVERT,HAKAI,RVRS,4,DFO2,51.5208000000001,-127.5583,,11,DFO2_2019-01-24_4,Collected,Technicianm,,1: Secchi QCd by CM
,459995,2019-01-29,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,16,QU39_2019-01-29_3,Collected,Technicianm,,1: Secchi QC'd by CM
,466110,2019-02-05,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,18.5,QU39_2019-02-05_2,Collected,Technicianm,,1: corrected sechi to 18 based off of logsheet2: Sample metadata QC'd by CO. Secchi on bottom
,468148,2019-02-12,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,12,QU39_2019-02-12_2,Collected,Technicianm,,1: Sample metadata QC'd by CO. Secchi on bottom
,470808,2019-02-14,CALVERT,HAKAI,KWAK,1,KC10,51.6505000000001,-127.9516,,17.5,KC10_2019-02-14_1,Collected,Technicianm,,1: Secchi qcd by cm
,470801,2019-02-15,CALVERT,HAKAI,KWAK,1,KC10,51.6505000000001,-127.9516,,20,KC10_2019-02-15_1,Collected,Technicianm,,1: Secchi qcd by cm
,472585,2019-02-21,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,13,QU39_2019-02-21_2,Collected,Technicianm,,1: Sample metadata QC'd by CO.
,475982,2019-02-26,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,13,QU39_2019-02-26_2,Collected,Technicianm,,1: Sample metadata QC'd by CO
,484764,2019-03-05,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,11.5,QU39_2019-03-05_2,Collected,Technicianm,,1: Secchi metadata QC'd by CO
,489217,2019-03-12,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,4,QU39_2019-03-12_3,Collected,Technicianm,,1: Secchi metadata QC'd by CO
,494496,2019-03-13,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,16,KC10_2019-03-13_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,494327,2019-03-15,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,8,DFO2_2019-03-15_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,499637,2019-03-20,QUADRA,HAKAI,QOMA5,5,QU39,50.0307000000001,-125.0992,,12,QU39_2019-03-20_5,Collected,Technicianm,,1: Secchi metadata QC'd by CO
,504393,2019-03-27,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,4,QU39_2019-03-27_3,Collected,Technicianm,,1: Secchi metadata QC'd by CO
,505255,2019-04-02,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,9.5,QU39_2019-04-02_3,Collected,Technicianm,,1: Secchi Qcd by CM
,506908,2019-04-10,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,13,QU39_2019-04-10_2,Collected,Technicianm,,1: Secchi Qcd by CM
,509085,2019-04-17,QUADRA,HAKAI,QOMA5,1,QU39,50.0307000000001,-125.0992,,15.5,QU39_2019-04-17_1,Collected,Technicianm,,1: Secchi Qcd by CM
,507978,2019-04-18,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,12.5,KC10_2019-04-18_2,Collected,Technicianm,,1: Secchi QCd by BF
,508000,2019-04-19,CALVERT,HAKAI,RVRS,3,DFO2,51.5208000000001,-127.5583,,7,DFO2_2019-04-19_3,Collected,Technicianm,,1: Secchi QCd by BF
,510922,2019-05-02,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,5.5,QU39_2019-05-02_3,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,511417,2019-05-09,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,10,QU39_2019-05-09_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,511456,2019-05-11,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,9,KC10_2019-05-11_2,Collected,Technicianm,,1: Sample metadata QC'd by EM
,511965,2019-05-13,CALVERT,HAKAI,QCS_V1,1,QCS01,51.705,-128.2384,,4,QCS01_2019-05-13_1,Collected,Technicianm,,1: Event QC'd by EM2: Sample metadata QC'd by EM
,512532,2019-05-14,CALVERT,HAKAI,RVRS,1,DFO2,51.5208000000001,-127.5583,,3.5,DFO2_2019-05-14_1,Collected,Technicianm,,1: Event Metadata QCd by ID2: Sample metadata QC'd by EM
,513014,2019-05-22,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,15.5,QU39_2019-05-22_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,516384,2019-05-29,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,7,QU39_2019-05-29_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,517526,2019-06-04,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,5.5,QU39_2019-06-04_3,Collected,Technicianmr,,1: Secchi QCd by BF
,521295,2019-06-09,CALVERT,HAKAI,QCS_V1,1,QCS01,51.705,-128.2384,,7,QCS01_2019-06-09_1,Collected,Technicianm,,1: Secchi QCd by BF
,521312,2019-06-10,CALVERT,HAKAI,KWAK,5,KC10,51.6505000000001,-127.9516,,7.5,KC10_2019-06-10_5,Collected,Technicianm,,1: Secchi QCd by BF
,521340,2019-06-11,CALVERT,HAKAI,RVRS,3,DFO2,51.5208000000001,-127.5583,,5,DFO2_2019-06-11_3,Collected,Technicianm,,1: Secchi QCd by BF
,521883,2019-06-20,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,999,QU39_2019-06-20_2,Collected,Technicianmr,,1: Secchi QCd by BF.   Secchi was not collected. Too rough
